ID,smiles
Vancomycin ,C[NH2+]C(CC(C)C)C(=O)NC1C(=O)NC(CC(N)=O)C(=O)NC2C(=O)NC3C(=O)NC(C(=O)NC(C(=O)[O-])c4cc(O)cc(O)c4-c4cc3ccc4O)C(O)c3ccc(c(Cl)c3)Oc3cc2cc(c3OC2OC(CO)C(O)C(O)C2OC2CC(C)([NH3+])C(O)C(C)O2)Oc2ccc(cc2Cl)C1O
Vasopressin,NC(=[NH2+])NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC([NH3+])C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O
Verteporfin ,C=Cc1c(C)c2cc3nc(cc4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)[O-])c(CCC(=O)OC)c4C)C1(C)C3=CC=C(C(=O)OC)C1C(=O)OC
Voclosporin,C=CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C
Vosoritide,CCC(C)C1NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(=O)[O-])NC(=O)C(CC(C)C)NC(=O)C(CCCC[NH3+])NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)C(NC(=O)CNC(=O)C(CCCC[NH3+])NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CCCC[NH3+])NC(=O)C(CCCC[NH3+])NC(=O)C(CC(N)=O)NC(=O)C(C)NC(=O)CNC(=O)C(CCCC[NH3+])NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(CCCC[NH3+])NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(C)NC(=O)C(CC(N)=O)NC(=O)C2CCCN2C(=O)C(Cc2cnc[nH]2)NC(=O)C(CCC(=O)[O-])NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C2CCC[NH2+]2)CSSCC(C(=O)[O-])NC(=O)CNC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CO)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)CNC1=O
Voxilaprevir,CCC1C2CN(C(=O)C(C(C)(C)C)NC(=O)OC3CC3CCCCC(F)(F)c3nc4ccc(OC)cc4nc3O2)C1C(=O)NC1(C(=O)[N-]S(=O)(=O)C2(C)CC2)CC1C(F)F
Ziconotide ,CSCCC1NC(=O)C(CC(C)C)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CO)NC(=O)C2CSSCC3NC(=O)C(CO)NC(=O)CNC(=O)C(C(C)O)NC(=O)C(CSSCC([NH3+])C(=O)NC(CCCC[NH3+])C(=O)NCC(=O)NC(CCCC[NH3+])C(=O)NCC(=O)NC(C)C(=O)NC(CCCC[NH3+])C(=O)N2)NC(=O)C(CSSCC(C(N)=O)NC(=O)C(CCCC[NH3+])NC(=O)CNC(=O)C(CO)NC(=O)C(CCCNC(N)=[NH2+])NC3=O)NC(=O)C(CC(=O)[O-])NC(=O)C(Cc2ccc(O)cc2)NC1=O
Milvexian,CC1CCCC(n2cnc(-c3cc(Cl)ccc3-n3cc(Cl)nn3)cc2=O)c2cc(ccn2)-c2c(cnn2C(F)F)NC1=O
Tavilermide,[NH3+]CCCCC1NC(=O)C(CCC(=O)[O-])NC(=O)c2cc([N+](=O)[O-])ccc2OCCC(C(=O)NCC(=O)[O-])NC1=O
Livoletide,CC(C)C1NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CCC(N)=O)NC(=O)C(Cc2c[nH]cn2)NC(=O)C(CCC(=O)[O-])NC(=O)C2CCCN2C(=O)C(CO)NC(=O)C(CCC(N)=O)NC1=O
Ulimorelin,CC1CNC(C2CC2)C(=O)N(C)C(C)C(=O)NC(Cc2ccc(F)cc2)C(=O)NCCCc2ccccc2O1
AMY-101,CCC(C)C(NC(=O)C([NH3+])Cc1ccc(O)cc1)C(=O)NC1CSSCC(C(=O)N(C)C(C(N)=O)C(C)CC)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(Cc2c[nH]cn2)NC(=O)C(C)NC(=O)CN(C)C(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC(=O)[O-])NC(=O)C(CCC(N)=O)NC(=O)C(Cc2cn(C)c3ccccc23)NC(=O)C(C(C)C)NC1=O
BQ-123,CC(C)CC1NC(=O)C(C(C)C)NC(=O)C2CCCN2C(=O)C(CC(=O)[O-])NC(=O)C(Cc2c[nH]c3ccccc23)NC1=O
PL-3994,CCCCCCC(=O)NC1CSSCC(C(=O)NC(Cc2ccc(O)cc2)C(=O)N2CC(C(N)=O)NC(=O)C2CCCNC(N)=[NH2+])NC(=O)C(CO)NC(=O)C(C(C)CC)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)C(CC(=O)[O-])NC(=O)C(CCCC)NC(=O)C(CCCNC(N)=[NH2+])NC(=O)CNC(=O)C(C)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2c[nH]cn2)NC1=O
Ruboxistaurin,C[NH+](C)CC1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1
Solithromycin,CCC1OC(=O)C(C)(F)C(=O)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)OC12C
Nafithromycin,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2C(C(N)=NOC(C)c3nnc(-c4ccccn4)s3)C(=O)OC12C
Murepavadin,CCC(C)C1NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(C(C)O)NC(=O)C2CCCN2C(=O)C2CCCN2C(=O)C(CO)NC(=O)C(C)NC(=O)C(CC[NH3+])NC(=O)C(CC[NH3+])NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CC[NH3+])NC(=O)C(CC[NH3+])NC(=O)C(CCC[NH3+])NC(=O)C(CC[NH3+])NC1=O
TNP-2092,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCC([NH+](C)C6(C7CCN(c8c(F)cn9c(=O)c(C(=O)[O-])cc(C%10CC%10)c9c8C)C7)CC6)CC5)c(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C
Rezafungin,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(OCC[N+](C)(C)C)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1
Odalasvir,COC(=O)NC(C(=O)N1C(c2nc3cc(-c4cc5ccc4CCc4ccc(c(-c6ccc7[nH]c(C8CC9CCCCC9N8C(=O)C(NC(=O)OC)C(C)C)nc7c6)c4)CC5)ccc3[nH]2)CC2CCCCC21)C(C)C
Bryostatin 1,CCCC=CC=CC(=O)OC1C(=CC(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4CC(=CC(=O)OC)CC(C=CC(C)(C)C1(O)O2)O4)O3
Zotiraciclib,C[NH+]1CC=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1
