id,smiles
909,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1cc(Cl)ccc1Cl
913,CCCC(C(=O)O)c1c(-c2ccccc2)c2cc(Cl)ccc2n(CCC)c1=O
931,O=C(O)C(Cc1ccccc1)N1C(=O)C(=Cc2ccc(Br)cc2)SC1=S
1705,Cc1ccc(NN=C2Sc3ccccc3C2=O)cc1
1708,Oc1ccc(C=NN2CCN(c3ccccc3)CC2)cc1O
596,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1c(F)cccc1F
941,CC(N)C(=O)NC1CCCC2CCC(C(=O)NCc3ccccc3)N2C1=O
947,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NC(c1ccccc1)c1ccccc1)C(C)C
576,CC(N)C(=O)NC1CCC2CCC(C(=O)NCCc3ccccc3)N2C1=O
968,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1cc(Br)ccc1Br
730,CNC(=O)c1ccc(OC(C)C(=O)N2CCN(C(=O)c3ccccc3)CC2C)cc1OC
537,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1c(Cl)cccc1Cl
678,COC(=O)C(Cc1ccc(C#Cc2ccccc2)cc1)NC(=O)CNC(=O)C(CC1CCCCC1)NC(=N)N
934,CNC(=O)c1cccc(OC(C)C(=O)N2CCN(C(=O)c3ccccc3)CC2C)c1C
1701,c1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1
1694,Cc1nnc(NN)c2c1[nH]c1ccccc12
857,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1cc(Br)ccc1Cl
675,Cc1cccc(OC(C)C(=O)N2CCN(C(=O)c3ccccc3)CC2C)c1C
1685,O=C(NN=Cc1c(O)ccc2ccccc12)c1ccncc1
1686,CCOc1cccc(C=NNC(=O)c2n[nH]c3c2CCC3)c1O
1687,O=C(NN=Cc1cc(Br)ccc1O)c1n[nH]c2c1CCCC2
1689,O=C(NN=Cc1c(O)ccc2ccccc12)c1ccn[nH]1
974,CC(C)c1cc(C(=O)c2ccc(Oc3ccccc3)cc2)c(O)c(O)c1O
1662,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccc2ccccc2n1
784,CCCCNC(=O)c1ccc(CN(Cc2ccc(F)cc2)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1
789,CCCC(C(=O)O)c1c(C)nc2ccc(Cl)cc2c1-c1ccccc1
790,CC1CCCCC1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
609,CC(C)CCC(C(=O)O)N1C(=O)c2cc(I)ccc2NC(=O)C1c1ccc(Cl)cc1
605,CC(N)C(=O)NC1CCC2CCC(C(=O)NCc3ccccc3)N2C1=O
686,CC(C)c1ccccc1Sc1ccc(C2CC2C(=O)NCC(=O)O)c(Cl)c1Cl
777,CNC(=O)c1ccc(OC(C)C(=O)N2CCN(C(=O)c3ccccc3)CC2C)c(C)c1
758,CC(N)C(=O)Nc1nc(COCc2ccccc2)c(Cc2ccccc2)s1
746,CC(Oc1cccc(Cl)c1)C(=O)N1CCN(C(=O)c2ccccc2)CC1C
731,O=C(O)Cc1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O
881,CC(N)C(=O)Nc1nc(-c2ccc(Br)cc2)c(-c2ccccc2)s1
1592,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1cccc(F)c1F
1074,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1ccccc1F
1004,CCC(CC)C1NC(C(=O)NCCC(O)CO)C(c2cccc(Cl)c2)C1(C#N)c1ccc(Cl)cc1
1422,CC(C)c1ccccc1Sc1ccc(C2CC2C(=O)NCCC(=O)O)c(Cl)c1Cl
1421,CNC(=O)c1cc(OC)c(OC(C)C(=O)N2CCN(C(=O)c3ccccc3)CC2C)cn1
1419,CC(C)CN(Cc1ccc(CN(CC(C)C)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)cc1)S(=O)(=O)c1cc(Cl)cc(Cl)c1O
1408,CC(C)(C)CC1NC(C(=O)NCCCCO)C(c2cccc(Cl)c2)C1(C#N)c1ccc(Cl)cc1
1613,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccccc1Cl
1614,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccccc1Cl
1615,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1cccc(Cl)c1
1457,CC(N)C(=O)Nc1nc(COc2ccccc2)c(Cc2ccccc2)s1
1616,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccc(Cl)cc1
1618,COc1ccccc1NS(=O)(=O)c1cc(-c2c(C)noc2C)ccc1OC
1619,COc1cccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2C)c1
1396,CC(N)C(=O)Nc1nc2c(ccc3ccccc32)s1
1620,COc1cccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2OC)c1
1621,COc1ccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2C)cc1
1622,COc1ccc(NS(=O)(=O)c2cc(-c3c(C)noc3C)ccc2OC)cc1
1623,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCc1ccccc1
1617,COc1ccccc1NS(=O)(=O)c1cc(-c2c(C)noc2C)ccc1C
1485,Nc1cccc(Sc2ccc(C=CC(=O)N3CCOCC3)c(C(F)(F)F)c2C(F)(F)F)c1
1486,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1ccccc1Cl
1499,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1ccccc1I
1605,CC(=O)c1cc(-c2ccccn2)c2ccccn12
1606,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CC1
1575,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NC1CCCc2ccccc21)C(C)(C)C
1607,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CC1
1608,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCC1
1609,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCC1
1571,CNc1cccc(Sc2ccc(C=CC(=O)N3CCOCC3)c(C(F)(F)F)c2C(F)(F)F)c1
1564,CCN(C)c1cc(-c2ccc(Sc3ccccc3C(C)C)c(C(F)(F)F)c2)ncn1
1610,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCCC1
1611,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccccc1
1612,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)Nc1ccccc1
1552,CCCCC(C(=O)O)N1C(=O)c2cc(I)ccc2NC(=O)C1c1ccc(Cl)cc1
1545,CC(C)(C)Cc1nc(C(=O)O)c(-c2ccc(F)c(Cl)c2)n1-c1cccc(Cl)c1F
1536,CNC(=O)c1ccc(OC(C)C(=O)N2CCN(C(=O)c3ccccc3)CC2C)c(OC)n1
1528,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NC1CCc2ccccc21)C(C)(C)C
1523,CC(C)(C)CC1NC(C(=O)NCCC(O)CO)C(c2cc(F)cc(Cl)c2)C1(C#N)c1ccc(Cl)cc1F
1505,CC(C)CN(Cc1cc(Cl)cc(CN(CC(C)C)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)c1)S(=O)(=O)c1cccnc1
1624,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCc1ccccc1
985,CCCN1C(=O)c2ccccc2C1(OCCCO)c1ccc(Cl)cc1
1363,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1ccc(Cl)cc1Cl
1625,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCCc1ccccc1
1132,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1c(F)cccc1Cl
1124,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1c(F)cccc1Br
1123,CC(C)Cc1nc(C(=O)O)c(-c2cccc(Cl)c2)n1-c1cccc(Cl)c1
1121,C=CCC(C(=O)O)c1c(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O
1639,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCOCC1
1640,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCNCC1
1641,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCNCC1
1133,CCC(N)C(=O)NC1CCCC2CCC(C(=O)NCc3ccccc3)N2C1=O
1642,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCNC1
1644,Cc1noc(C)c1-c1cccc(S(=O)(=O)NC2CC2)c1
1645,Cc1noc(C)c1-c1cccc(S(=O)(=O)NC2CCCC2)c1
1586,CNC(=O)c1cccc(OC(C)C(=O)N2CCN(C(=O)c3ccccc3)CC2C)c1
1652,COc1cc(CNC(C)c2ccccc2)cc(Br)c1OCc1ccccc1Cl
1654,CCOc1cc(CNCc2ccccc2)cc(Cl)c1OCc1ccccc1Cl
1656,N=C(N)NCCCC(NC(=O)c1sccc1CS(=O)(=O)c1cccc2nsnc12)C(=O)O
1048,Cc1cccc(C)c1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
1643,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC1CCCNC1
1144,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)c1cc(F)ccc1F
1145,CC(C)c1cc(C(=O)N2CCc3ccccc3C2)c(O)c(O)c1O
1148,CNC(=O)c1ccc(OC(C)C(=O)N2CCN(C(=O)c3ccccc3)CC2C)c(OC)c1
1626,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCCCc1ccccc1
1272,CNC(=O)c1cc(OC)c(OC(C)C(=O)N2CCN(c3ncccn3)CC2C)cn1
1260,CCNC(=O)c1nc(CC(C)(C)C)n(-c2cc(Cl)ccc2C)c1-c1ccc(Cl)cc1OC
1247,N#Cc1c(N)nc(SCC(=O)c2ccc(O)c(O)c2)c(C#N)c1-c1ccc(O)cc1
1632,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N(C)C1CCCC1
1633,CCN(C1CCCC1)S(=O)(=O)c1cc(-c2c(C)noc2C)ccc1OC
1236,CC(C)CC(NC(=N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3cccc(Cl)c3Cl)nn2C)CC1
1234,CC(C)CC(NC(=N)N)C(=O)NCC(=O)N1CCC(c2cc(-c3ccc(O)c(Cl)c3Cl)nn2C)CC1
1634,COc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)N1CCCC1
1229,Cc1ccccc1C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O
1191,Cc1cccc(CN(Cc2ccc(F)cc2)S(=O)(=O)c2cc(Cl)cc(Cl)c2O)c1
1175,CCOC(=O)c1nc(CC(C)(C)C)n(-c2cc(Cl)ccc2C)c1-c1ccc(F)c(Cl)c1
